Gas_Stations_Address,Latitude,Longitude,Pincode,Pincode( frst 3 characters),Latitiude of the nearest Fast Charger,Longitude of the nearest fast charger,Distance with the nearest fast EV charger
Am Reitfeld 2 · 93161 Sinzing,48.9942544,12.0326152,93161,931,49.097129,12.4853312,34.92210659
Deuerlinger Straße 1 · 93152 Nittendorf,49.0319883,11.9404883,93152,931,49.097129,12.4853312,40.35033629
Industriestraße 2 · 94559 Niederwinkling,48.8720648,12.7902505,94559,945,48.916002,12.882859,8.348922902
Nuernberger Straße 23 · 90518 Altdorf,49.3845535,11.3491594,90518,905,49.403379,10.691245,47.66021224
Fraunhofer Straße 3 · 93098 Barbing,48.9536296,12.2417962,93098,930,48.9945501,12.1113602,10.55178583
An Der A3 · 93164 Brunn,49.075614,11.9049368,93164,931,49.097129,12.4853312,42.33409996
Landshuter Straße 110 · 93053 Regensburg,49.0037142,12.122043,93053,930,48.9945501,12.1113602,1.28285494
Neumarkter Straße 33a · 90518 Altdorf b. Nürnberg,49.3839192,11.3658,90518,905,49.403379,10.691245,48.86676234
Junkersstraße 3 · 93055 Regensburg,48.9978072,12.1491636,93055,930,48.9945501,12.1113602,2.781664307
Deusmauerer Straße 1 · 92355 Lengenfeld,49.2396228,11.6292347,92355,923,49.03476,11.474309,25.41542125
Hauptstraße 1 · 97270 Kist,49.7440821,9.8417865,97270,972,49.89641,9.81834,17.02140705
Max-Planck-Straße 8 · 93055 Regensburg,48.9999672,12.1483722,93055,930,48.9945501,12.1113602,2.766560493
Erlanger Straße 1 · 91093 Hessdorf,49.6286413,10.9120718,91093,910,49.591284,11.008751,8.110526253
Mainfrankenpark 24 · 97337 Dettelbach,49.7787138,10.0663091,97337,973,49.73103,10.172022,9.262071916
Aschbacher Straße 15 · 96132 Schlüsselfeld,49.7577894,10.6142368,96132,961,49.9176,10.87374,25.73179356
Bamberger Straße 20 · 96132 Schlüsselfeld,49.7572631,10.6216767,96132,961,49.9176,10.87374,25.38970912
Straubinger Straße 15 · 93086 Wörth,48.9971062,12.407261,93086,930,48.9945501,12.1113602,21.58975757
Ludwig-Erhard-Ring 2 · 92348 Berg B Neumarkt,49.313692,11.4751971,92348,923,49.03476,11.474309,31.01589047
Kitzinger Straße 38 · 97359 Schwarzach,49.7895121,10.2154326,97359,973,49.73103,10.172022,7.211870204
Wuerzburger Straße 55 · 97318 Biebelried,49.7650764,10.08142,97318,973,49.73103,10.172022,7.530431843
Sperrwies 1 · 94036 Passau,48.5599209,13.378401,94036,940,48.563604,13.445518,4.956101455
